Notebook Link,status,additional_exclusion_columns,additional_key_columns,data_comparison_filter,environment,layer_name,source_table_name,target_table_name,note
https://adb-1406497925929477.17.azuredatabricks.net/jobs/115974928521029/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-24',dlsit,ingestion,hive_metastore.dlsit_persist_enlite_db.enlite_additionalinfo_1_0,scbucudpsit.dlsit_persist_enlite_db.enlite_additionalinfo_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/354854534567802/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-24',dlsit,ingestion,hive_metastore.dlsit_persist_enlite_db.enlite_additionalinfo_hist_1_0,scbucudpsit.dlsit_persist_enlite_db.enlite_additionalinfo_hist_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/115974928521029/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-24',dlsit,ingestion,hive_metastore.dlsit_persist_enlite_db.enlite_additionalinfo_1_0,scbucudpsit.dlsit_persist_enlite_db.enlite_additionalinfo_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/354854534567802/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-24',dlsit,ingestion,hive_metastore.dlsit_persist_enlite_db.enlite_additionalinfo_hist_1_0,scbucudpsit.dlsit_persist_enlite_db.enlite_additionalinfo_hist_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/631569989560638/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-24',dlsit,ingestion,hive_metastore.dlsit_persist_enlite_db.enlite_addressmapping_1_0,scbucudpsit.dlsit_persist_enlite_db.enlite_addressmapping_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/267419726667993/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-24',dlsit,ingestion,hive_metastore.dlsit_persist_enlite_db.enlite_authority_1_0,scbucudpsit.dlsit_persist_enlite_db.enlite_authority_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/394688361476315/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-24',dlsit,ingestion,hive_metastore.dlsit_persist_enlite_db.enlite_authority_hist_1_0,scbucudpsit.dlsit_persist_enlite_db.enlite_authority_hist_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/395782430908776/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-24',dlsit,ingestion,hive_metastore.dlsit_persist_enlite_db.enlite_authorize_person_1_0,scbucudpsit.dlsit_persist_enlite_db.enlite_authorize_person_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/17999942769693/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-24',dlsit,ingestion,hive_metastore.dlsit_persist_enlite_db.enlite_authorize_person_hist_1_0,scbucudpsit.dlsit_persist_enlite_db.enlite_authorize_person_hist_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/382100125555567/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-24',dlsit,ingestion,hive_metastore.dlsit_persist_enlite_db.enlite_catalog_1_0,scbucudpsit.dlsit_persist_enlite_db.enlite_catalog_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
